kabupaten;pdrb;ipm;sekolah;kerja;
Kabupaten Pacitan; 17,986.5 ; 69.37 ; 7.82 ; 381,276 ;
Kabupaten Ponorogo; 23,028.3 ; 71.87 ; 7.77 ; 527,914 ;
Kabupaten Trenggalek; 20,882.3 ; 71.00 ; 7.89 ; 411,820 ;
Kabupaten Tulungagung; 44,133.5 ; 74.06 ; 8.65 ; 603,997 ;
Kabupaten Blitar; 41,379.3 ; 71.86 ; 7.82 ; 682,958 ;
Kabupaten Kediri; 46,665.0 ; 73.46 ; 8.23 ; 865,206 ;
Kabupaten Malang; 117,457.0 ; 71.38 ; 7.68 ; 1,481,324 ;
Kabupaten Lumajang; 36,663.7 ; 66.95 ; 6.87 ; 586,536 ;
Kabupaten Jember; 88,075.5 ; 67.97 ; 6.50 ; 1,360,361 ;
Kabupaten Banyuwangi; 93,299.0 ; 71.94 ; 7.66 ; 934,242 ;
Kabupaten Bondowoso; 22,901.9 ; 67.31 ; 6.22 ; 474,928 ;
Kabupaten Situbondo; 23,128.6 ; 68.25 ; 6.63 ; 407,588 ;
Kabupaten Probolinggo; 38,932.8 ; 66.96 ; 6.13 ; 671,564 ;
Kabupaten Pasuruan; 172,654.2 ; 69.68 ; 7.42 ; 916,175 ;
Kabupaten Sidoarjo; 245,222.5 ; 81.02 ; 10.77 ; 1,342,074 ;
Kabupaten Mojokerto; 95,738.1 ; 74.89 ; 8.97 ; 646,778 ;
Kabupaten Jombang; 45,930.4 ; 74.05 ; 8.76 ; 669,798 ;
Kabupaten Nganjuk; 30,819.8 ; 72.93 ; 8.12 ; 566,095 ;
Kabupaten Madiun; 21,879.4 ; 72.39 ; 7.94 ; 407,037 ;
Kabupaten Magetan; 21,194.7 ; 74.85 ; 8.66 ; 389,348 ;
Kabupaten Ngawi; 22,455.0 ; 71.75 ; 7.59 ; 540,407 ;
Kabupaten Bojonegoro; 100,492.9 ; 70.12 ; 7.43 ; 733,653 ;
Kabupaten Tuban; 75,187.7 ; 69.67 ; 7.37 ; 702,600 ;
Kabupaten Lamongan; 45,441.1 ; 74.02 ; 8.33 ; 672,289 ;
Kabupaten Gresik; 163,907.9 ; 77.16 ; 9.75 ; 720,872 ;
Kabupaten Bangkalan; 27,164.2 ; 65.05 ; 5.97 ; 562,869 ;
Kabupaten Sampang; 23,009.3 ; 63.39 ; 5.06 ; 552,817 ;
Kabupaten Pamekasan; 19,263.4 ; 66.99 ; 6.88 ; 517,970 ;
Kabupaten Sumenep; 40,255.3 ; 67.87 ; 5.93 ; 674,374 ;
Kota Kediri; 152,791.1 ; 79.59 ; 10.45 ; 163,821 ;
Kota Blitar; 7,833.9 ; 79.93 ; 10.65 ; 77,808 ;
Kota Malang; 84,807.4 ; 82.71 ; 10.69 ; 452,836 ;
Kota Probolinggo; 12,931.4 ; 74.56 ; 9.29 ; 129,272 ;
Kota Pasuruan; 9,452.8 ; 76.54 ; 9.67 ; 107,143 ;
Kota Mojokerto; 7,637.0 ; 79.32 ; 10.80 ; 72,362 ;
Kota Madiun; 15,825.6 ; 82.01 ; 11.67 ; 96,815 ;
Kota Surabaya; 655,616.2 ; 82.74 ; 10.51 ; 1,643,314 ;
Kota Batu; 18,587.6 ; 77.22 ; 9.63 ; 120,771 ;
